"Paragraf";"2005";"2006";"2007";"2008";"2009";"2010" 
"06 Udenrigsministeriet";1.2;2.4;36.9;384.3;229.6;-14.0
"07 Finansministeriet";0.0;0.0;2433.4;-74.0;-93.9;-94.3
"08 Økonomi- og Erhvervsministeriet";-32.3;-34.7;-370.1;341.1;332.1;303.1
"09 Skatteministeriet";0.0;0.0;28.0;38.5;49.0;59.5
"11 Justitsministeriet";0.0;0.0;547.5;607.4;693.3;836.5
"12 Forsvarsministeriet";0.0;0.0;703.6;44.3;44.5;41.5
"15 Socialministeriet";0.0;0.0;-915.8;-328.6;-413.2;-326.6
"16 Indenrigs- og Sundhedsministeriet";-19.9;-13.3;-783.8;134.0;-158.2;2631.8
"17 Beskæftigelsesministeriet";0.0;0.0;-2384.6;-1682.4;-801.1;-593.5
"18 Integrationsministeriet";0.0;0.0;-2.9;-4.5;-23.7;-34.2
"19 Videnskabsministeriet";798.4;738.3;818.5;1805.5;2122.9;778.4
"20 Undervisningsministeriet";0.0;0.0;548.5;404.0;669.7;191.3
"21 Kulturministeriet";0.0;0.0;-167.7;193.8;16.9;20.9
"22 Kirkeministeriet";0.0;0.0;86.2;86.2;86.2;86.2
"23 Miljøministeriet";-127.8;-122.0;277.4;117.4;107.7;1.4
"24 Fødevareministeriet";-339.9;-321.3;-31.4;-42.9;65.9;66.9
"27 Ministeriet for Familie- og Forbrugeranl";-262.1;-234.1;309.4;189.4;195.1;173.7
"28 Transport- og Energiministeriet";-17.5;-15.3;336.3;25.2;-263.2;-1570.0
"34 Arbejdsmarkedsfond";0.0;0.0;-409.2;-479.2;-583.2;-679.2
"35 Generelle reserver";0.0;0.0;-5473.5;-5756.2;-6552.1;-4446.6
"36 Pensionsvæsenet";0.0;0.0;92.4;92.4;92.4;92.4
"37 Renter";0.0;0.0;-2989.4;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-1014.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-887.9;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;809.9;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;8516.0;0.0;0.0;0.0
