"Paragraf";"2006";"2007";"2008";"2009";"2010";"2011" 
"06 Udenrigsministeriet";-99.4;-100.1;-435.4;-32.3;11.5;17.7
"07 Finansministeriet";0.0;0.0;1490.2;59.4;41.4;9.7
"08 Økonomi- og Erhvervsministeriet";0.0;0.0;4.3;5.7;5.5;2.1
"11 Justitsministeriet";0.0;0.0;341.7;300.6;369.4;408.0
"15 Velfærdsministeriet";0.0;0.0;493.6;1184.9;1234.8;1219.8
"16 Ministeriet for Sundhed og Forebyggelse";0.0;0.0;608.0;713.5;596.0;534.1
"17 Beskæftigelsesministeriet";0.0;0.0;34.5;186.3;331.4;310.1
"18 Integrationsministeriet";0.0;0.0;82.4;93.1;68.8;68.7
"19 Videnskabsministeriet";-14.0;-28.4;-82.7;-97.2;-91.4;-94.2
"20 Undervisningsministeriet";14.0;28.4;199.2;-80.2;-209.8;-337.0
"21 Kulturministeriet";0.0;0.0;11.4;11.1;11.1;11.3
"23 Miljøministeriet";0.0;0.0;3.6;-5.5;-29.6;-29.6
"24 Fødevareministeriet";0.0;0.0;24.2;26.9;28.0;28.0
"28 Transportministeriet";0.0;0.0;-39.6;201.3;186.3;5.9
"29 Klima- og Energiministeriet";99.4;100.1;90.0;88.6;31.8;26.1
"35 Generelle reserver";0.0;0.0;-2292.0;-1447.8;-1676.2;-1914.8
"37 Renter";0.0;0.0;1587.0;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-199.0;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;-124.3;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;-1856.0;0.0;0.0;0.0
