"Paragraf";"2013";"2014";"2015";"2016";"2017";"2018" 
"01 Dronningen";77.2;72.3;79.0;79.0;79.0;79.0
"02 Medlemmer af det kongelige hus mfl";26.2;24.8;26.8;26.8;26.8;26.8
"03 Folketinget";1004.7;1013.7;1026.7;1026.2;1025.7;1025.4
"05 Statsministeriet";132.9;141.4;141.2;140.6;139.7;137.9
"06 Udenrigsministeriet";15238.6;15713.5;16330.2;16324.9;16216.4;16237.1
"07 Finansministeriet";24717.4;22700.4;26456.8;21706.9;22071.3;22340.6
"08 Erhvervs- og Vækstministeriet";-470.7;28.5;490.5;-521.0;-1146.4;-2135.5
"09 Skatteministeriet";4576.3;3950.9;4183.4;4026.4;3846.6;3619.1
"10 Økonomi- og Indenrigsministeriet";195554.5;197357.6;197682.2;191210.8;192611.6;192205.1
"11 Justitsministeriet";15453.6;15759.7;15118.3;14838.3;14511.8;14188.8
"12 Forsvarsministeriet";21277.8;22484.7;20890.6;21403.5;21186.8;20603.0
"14 Ministeriet for By. Bolig og Landdistrikter";1637.6;2163.6;2197.2;2014.8;1994.0;1984.3
"15 Ministeriet for Børn. Liges. Integra. Sociale";136263.0;148821.3;153271.6;154935.1;156574.0;158194.1
"16 Ministeriet for Sundhed og Forebyggelse";5999.9;5095.3;5538.0;2276.6;2123.8;2032.3
"17 Beskæftigelsesministeriet";56869.7;55305.9;52502.7;49665.4;47008.8;43857.2
"19 Uddannelses- og Forskningsministeriet";46366.5;49400.4;50526.9;50875.8;52166.6;50335.9
"20 Undervisningsministeriet";29199.9;30685.8;31535.6;31366.6;30856.7;30547.2
"21 Kulturministeriet";6406.6;6470.7;6500.7;6444.7;6488.8;6354.8
"22 Kirkeministeriet";549.7;563.7;562.7;561.2;560.4;559.9
"23 Miljøministeriet";2143.8;2197.6;2465.0;2408.3;2253.4;2132.0
"24 Fødevareministeriet";2530.3;2898.4;2904.3;2854.8;2781.8;2727.3
"28 Transportministeriet";17628.1;20629.4;18864.2;17877.0;19179.0;16173.0
"29 Klima-. Energi- og Bygningsministeriet";952.0;644.8;1905.9;1398.9;1842.2;1741.6
"35 Generelle reserver";9312.8;11079.3;15774.3;19208.8;19230.1;19519.3
"36 Pensionsvæsenet";22117.7;22732.2;22962.9;23222.8;23320.3;23366.6
"37 Renter";22109.7;23044.8;25484.5;0.0;0.0;0.0
"38 Skatter og afgifter";-643268.3;-649047.8;-630761.4;0.0;0.0;0.0
"40 Genudlån mv";9488.5;-14125.5;11328.3;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-2478.3;4071.1;747.1;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";-1171.7;-2815.9;-57053.6;0.0;0.0;0.0
