"Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"Pakistan";94.5;50.0;0.0;30.0;0.0;0.0
"Myanmar";118.6;5.0;335.0;235.0;5.0;5.0
"Cambodja";-0.1;0.0;0.0;0.0;0.0;0.0
"Indonesien";60.0;0.0;0.0;0.0;0.0;0.0
"Palaestina";87.0;171.0;250.0;250.0;0.0;0.0
"Afghanistan";265.0;456.0;379.0;5.0;0.0;0.0
"Bangladesh";5.4;5.0;300.0;135.0;5.0;5.0
"Nepal";204.4;5.0;5.0;5.0;50.0;0.0
"Bhutan";-0.6;0.0;0.0;0.0;0.0;0.0
"Vietnam";-80.4;0.0;0.0;0.0;0.0;0.0
"Ovrige Asien";-43.4;32.5;1.0;1.0;1.0;1.0
"Nicaragua";-53.4;0.0;0.0;0.0;0.0;0.0
"Bolivia";393.7;3.0;0.0;0.0;0.0;0.0
"Ovrige Latinamerika";0.0;0.0;10.0;0.0;0.0;0.0
